filing_number,service_type,mutual_partners,Principal-Agent,Integration mechanism,Shared governance,Payment structrue,Frequency of Payment,Audit,Evaluation,Report,Mandatory discussion,Access to records,Insurance,Liability Shift/Indemnification,Explicit Amendment,Alternative Dispute Resolution Clause,Severability Clause,completeness,filing_year,col_direction,bonding_dum,tie_strength2,tie_strength_dum,service_contract
M033788,Criminal Investigation,0,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2006,Cross-sector,0,0,0,No
M033790,Criminal Investigation,0,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2006,Cross-sector,0,0,0,No
M034054,Criminal Investigation,9,FALSE,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2006,Vertical,1,3,1,No
M034100,Criminal Investigation,10,TRUE,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,8,2006,Horizontal,1,11,1,Yes
M034482,Criminal Investigation,24,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2006,Vertical,1,6,1,No
M036087,Criminal Investigation,21,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2006,Horizontal,1,5,1,No
M036295,Fire Response,0,NA,4,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,6,2007,Horizontal,0,0,0,Yes
M036380,Criminal Investigation,2,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2007,Vertical,1,0,0,Yes
M036381,Criminal Investigation,3,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2007,Vertical,1,1,1,No
M036383,Criminal Investigation,3,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2007,Vertical,1,1,1,No
M037236,Fire Response,0,NA,4,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,2007,Horizontal,0,1,1,Yes
M037699,Police Protection,5,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2007,Vertical,1,2,1,Yes
M038476,Emergency Management,4,TRUE,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2007,Horizontal,1,1,1,Yes
